ID,Area,Priority,Package Weight (kg)
1,Nasr City,3,6.4
2,Downtown,1,2.5
3,5th Settlement,1,6.8
4,Maadi,1,5.9
5,Garden City,5,1.0
6,5th Settlement,2,6.1
7,5th Settlement,4,7.2
8,Agouza,3,2.3
9,Nasr City,2,8.1
10,Giza,3,7.0
11,Giza,1,1.6
12,Heliopolis,3,1.0
13,Manial,3,8.5
14,Rehab,5,8.1
15,Shubra,1,1.3
16,Manial,3,5.6
17,Zamalek,1,5.8
18,6th of October,1,6.6
19,Heliopolis,4,8.6
20,Helwan,2,2.9
21,Mohandessin,3,3.8
22,Zamalek,5,7.0
23,5th Settlement,2,6.4
24,Shubra,3,1.7
25,5th Settlement,2,9.9
26,Maadi,2,6.9
27,Giza,4,8.2
28,Mohandessin,5,2.8
29,Giza,2,8.8
30,Shubra,4,6.6
31,Downtown,2,1.5
32,5th Settlement,3,7.5
33,Ain Shams,5,7.5
34,Garden City,2,4.1
35,Zamalek,1,5.1
36,Downtown,2,8.6
37,Ain Shams,5,7.9
38,Shubra,5,0.7
39,Sheikh Zayed,3,10.0
40,Nasr City,1,9.7
41,5th Settlement,3,6.8
42,Giza,1,7.7
43,Dokki,4,3.0
44,New Cairo,5,0.1
45,Sheikh Zayed,1,7.6
46,6th of October,5,8.7
47,Downtown,3,6.1
48,5th Settlement,5,7.6
49,Manial,3,9.2
50,Heliopolis,3,4.9
51,6th of October,2,8.8
52,Agouza,1,0.7
53,Madinaty,1,0.9
54,5th Settlement,2,9.8
55,Madinaty,5,1.4
56,Sheikh Zayed,5,1.7
57,Mohandessin,5,4.3
58,Mohandessin,3,7.6
59,Helwan,4,4.1
60,Rehab,1,9.0
61,Zamalek,3,2.6
62,5th Settlement,2,0.3
63,Nasr City,1,5.9
64,Maadi,2,7.1
65,Maadi,3,0.8
66,Garden City,3,0.8
67,Mohandessin,5,6.7
68,Agouza,5,1.4
69,Madinaty,4,4.8
70,Heliopolis,4,2.0
71,Ain Shams,4,3.6
72,Maadi,1,8.7
73,Giza,1,0.7
74,Mohandessin,5,2.6
75,Ain Shams,2,4.5
76,Garden City,1,2.9
77,5th Settlement,1,4.5
78,5th Settlement,1,0.6
79,Garden City,2,9.7
80,Madinaty,2,4.1
81,Maadi,2,8.7
82,Shubra,3,3.9
83,Rehab,3,9.3
84,5th Settlement,4,4.3
85,6th of October,2,1.6
86,Agouza,5,9.7
87,Giza,1,0.7
88,Madinaty,5,0.6
89,Sheikh Zayed,2,9.2
90,Sheikh Zayed,1,0.7
91,Zamalek,5,8.5
92,Garden City,4,0.8
93,Agouza,2,1.3
94,Maadi,5,5.8
95,Agouza,5,0.9
96,New Cairo,2,5.3
97,Giza,2,6.7
98,Downtown,3,2.7
99,Zamalek,1,4.6
100,Agouza,1,4.6
101,Mohandessin,5,0.8
102,Helwan,1,2.7
103,Helwan,3,8.8
104,5th Settlement,3,1.7
105,Sheikh Zayed,1,6.2
106,5th Settlement,3,6.7
107,Heliopolis,2,9.3
108,Heliopolis,5,2.7
109,6th of October,5,1.6
110,Giza,2,2.2
111,New Cairo,5,6.9
112,Maadi,1,4.9
113,New Cairo,1,6.4
114,Downtown,3,0.1
115,Rehab,5,1.7
116,5th Settlement,1,7.1
117,Downtown,5,1.2
118,Helwan,5,0.5
119,Ain Shams,2,5.6
120,Helwan,1,0.5
121,Mohandessin,2,9.0
122,Helwan,5,6.7
123,Ain Shams,5,8.9
124,Garden City,2,7.5
125,Dokki,4,9.8
126,Giza,4,0.3
127,Garden City,3,8.0
128,Heliopolis,4,1.7
129,Madinaty,2,8.7
130,Rehab,3,2.1
131,Garden City,2,3.1
132,Mohandessin,4,0.3
133,Zamalek,3,3.3
134,Sheikh Zayed,4,3.6
135,5th Settlement,3,6.8
136,Heliopolis,3,9.4
137,New Cairo,1,1.9
138,Ain Shams,3,1.2
139,Giza,4,7.3
140,Sheikh Zayed,1,6.1
141,Agouza,2,3.9
142,Ain Shams,1,2.6
143,5th Settlement,2,5.2
144,Zamalek,3,3.7
145,Heliopolis,3,6.3
146,Ain Shams,3,5.1
147,6th of October,5,4.1
148,Ain Shams,4,1.4
149,Dokki,5,6.8
150,Shubra,5,5.7
151,6th of October,3,8.4
152,Agouza,5,2.2
153,Rehab,4,6.6
154,Mohandessin,5,4.5
155,Dokki,1,4.8
156,Manial,3,2.9
157,Garden City,3,1.0
158,Mohandessin,2,2.3
159,Garden City,4,0.3
160,Zamalek,4,6.2
161,Agouza,2,4.2
162,Shubra,4,7.2
163,Downtown,1,4.1
164,Heliopolis,4,8.9
165,Sheikh Zayed,4,2.3
166,Garden City,1,0.6
167,Rehab,5,4.6
168,Manial,3,9.9
169,Rehab,5,9.5
170,Sheikh Zayed,4,8.2
171,5th Settlement,4,8.3
172,Madinaty,4,9.0
173,Garden City,3,2.7
174,Sheikh Zayed,4,7.7
175,New Cairo,4,6.3
176,6th of October,2,0.9
